Orientation,WWR,Angle,Shading Type,sDA,BlindClosed,Heating Penalty,Cooling Benefit,Total Energy
E,65,40,Horizontal,0.85,0.132329,-0.025086805555555633,-0.005139009452160517,-0.02939131760044094
E,65,45,Horizontal,0.86668,0.100548,0.0023437499999998863,-0.06528501157407388,-0.061203531108219286
E,65,0,No Shade,0.46668,0.419452,-0.24296874999999984,0.6337257667824076,0.3799686983434748
E,65,5,Vertical,0.47082,0.419452,-0.21848958333333326,0.5867965133101855,0.3581384306967263
E,65,10,Vertical,0.45834,0.419452,-0.19401041666666669,0.5398672598379634,0.33630816304997774
E,65,15,Vertical,0.45414,0.419452,-0.1695312500000001,0.4929380063657413,0.31447789540322924
E,65,20,Vertical,0.43752,0.419452,-0.1507812500000001,0.459828317901235,0.3005146601953135
E,65,25,Vertical,0.42918,0.419452,-0.1320312500000001,0.42671862943672867,0.2865514249873977
E,65,30,Vertical,0.42084,0.419452,-0.1132812500000001,0.3936089409722224,0.27258818977948196
E,65,35,Vertical,0.41664,0.419452,-0.09652777777777785,0.36283516589506154,0.25895497016377683
E,65,40,Vertical,0.40002,0.419452,-0.07977430555555559,0.33206139081790065,0.24532175054807168
E,65,45,Vertical,0.39168,0.419452,-0.06302083333333333,0.3012876157407398,0.23168853093236652
N,25,5,Eggcrate,0.46668,0.033699,-0.5820166987797045,0.0947557625062445,-0.6548038395953023
N,25,10,Eggcrate,0.43752,0.027945,-0.5794476557482338,0.08019339185042491,-0.6709210293663711
N,25,15,Eggcrate,0.43332,0.021096,-0.576878612716763,0.06563102119460534,-0.6870382191374399
N,25,20,Eggcrate,0.38748,0.003014,-0.5761721258831085,0.05762506244201819,-0.6968475879657524
N,25,25,Eggcrate,0.35832,0.0,-0.5754656390494541,0.04961910368943104,-0.7066569567940648
N,25,30,Eggcrate,0.32502,0.0,-0.5747591522157997,0.041613144936843885,-0.7164663256223773
N,25,35,Eggcrate,0.28752,0.0,-0.574373795761079,0.03690769285663284,-0.7222718704391332
N,25,40,Eggcrate,0.25416,0.0,-0.5739884393063583,0.0322022407764218,-0.728077415255889
N,25,45,Eggcrate,0.21666,0.0,-0.5736030828516377,0.02749678869621076,-0.7338829600726449
N,25,5,Horizontal,0.47502,0.033699,-0.5831085420680796,0.10110031756226394,-0.6477450019629528
N,25,10,Horizontal,0.46248,0.030137,-0.5816313423249839,0.09288250196246381,-0.6568033541016721
N,25,15,Horizontal,0.48336,0.022466,-0.5801541425818882,0.08466468636266367,-0.6658617062403914
N,25,20,Horizontal,0.46668,0.009863,-0.5795761078998073,0.07867694283879291,-0.6731315238206553
N,25,25,Horizontal,0.46248,0.0,-0.5789980732177264,0.07268919931492215,-0.6804013414009192
N,25,30,Horizontal,0.45,0.0,-0.5784200385356455,0.0667014557910514,-0.6876711589811831
N,25,35,Horizontal,0.43332,0.0,-0.5780346820809249,0.06179529722400646,-0.6937464224813525
N,25,40,Horizontal,0.42498,0.0,-0.5776493256262043,0.05688913865696152,-0.6998216859815218
N,25,45,Horizontal,0.40836,0.0,-0.5772639691714837,0.05198298008991658,-0.7058969494816912
