h3_9,host_seed_tile_id,host_seed_index,host_tile_path_id,center_lat,center_lon
89194ad2177ffff,88194ad217fffff,351,351,51.47496048420275,0.024671256690922974
89194ad217bffff,88194ad217fffff,351,351,51.477268639728635,0.017115488442806817
89194ad1e03ffff,88194ad1e1fffff,352,352,51.436314363291544,-0.12430623662618677
89194ad1e07ffff,88194ad1e1fffff,352,352,51.43379965875182,-0.12135139358612752
89194ad1e0bffff,88194ad1e1fffff,352,352,51.43609937065028,-0.12891712297770766
89194ad1e0fffff,88194ad1e1fffff,352,352,51.43358473011197,-0.12596197131302006
89194ad1e13ffff,88194ad1e1fffff,352,352,51.43904386837326,-0.12265036761114764
89194ad1e17ffff,88194ad1e1fffff,352,352,51.43652916613996,-0.11969549850504134
89194ad1e1bffff,88194ad1e1fffff,352,352,51.4388290015231,-0.12726141439267563
89194ad1e43ffff,88194ad1e5fffff,353,353,51.438398698357396,-0.13648395253428122
89194ad1e47ffff,88194ad1e5fffff,353,353,51.43588418819724,-0.13352815750700137
89194ad1e4bffff,88194ad1e5fffff,353,353,51.43818326200405,-0.14109544378921102
89194ad1e4fffff,88194ad1e5fffff,353,353,51.435668815913516,-0.13813934016146212
89194ad1e53ffff,88194ad1e5fffff,353,353,51.44112845270312,-0.1348284305748529
89194ad1e57ffff,88194ad1e5fffff,353,353,51.43861394485748,-0.13187260938459977
89194ad1e5bffff,88194ad1e5fffff,353,353,51.44091314213304,-0.13944008236072514
89195da5983ffff,88195da599fffff,354,354,51.529962546667285,-0.22000502464811883
89195da5987ffff,88195da599fffff,354,354,51.527450121387105,-0.21703869704469664
89195da598bffff,88195da599fffff,354,354,51.52974574164334,-0.22462689856437587
89195da598fffff,88195da599fffff,354,354,51.52723338114803,-0.221660261694057
89195da5993ffff,88195da599fffff,354,354,51.532691583816025,-0.2183496528791212
89195da5997ffff,88195da599fffff,354,354,51.53017916111678,-0.21538329837489162
89195da599bffff,88195da599fffff,354,354,51.53247490458129,-0.22297168845525522
89194ad1ea3ffff,88194ad1ebfffff,355,355,51.43422894673975,-0.1121306829356875
89194ad1ea7ffff,88194ad1ebfffff,355,355,51.43171404803332,-0.10917679185823874
89194ad1eabffff,88194ad1ebfffff,355,355,51.43401439762142,-0.11674096410946329
89194ad1eafffff,88194ad1ebfffff,355,355,51.43149956284815,-0.11378676438335983
89194ad1eb3ffff,88194ad1ebfffff,355,355,51.436958202533944,-0.11047446716402025
89194ad1eb7ffff,88194ad1ebfffff,355,355,51.434443306125786,-0.10752055011734989
89194ad1ebbffff,88194ad1ebfffff,355,355,51.43674377921445,-0.11508490866676847
89194adac03ffff,88194adac1fffff,356,356,51.45240335763933,-0.1772939496592827
89194adac07ffff,88194adac1fffff,356,356,51.44988956750689,-0.17433460194570954
89194adac0bffff,88194adac1fffff,356,356,51.45218658615613,-0.18190803198214173
89194adac0fffff,88194adac1fffff,356,356,51.4496728603444,-0.1789483756740985
89194adac13ffff,88194adac1fffff,356,356,51.45513372681026,-0.17563938926569295
89194adac17ffff,88194adac1fffff,356,356,51.452619939038826,-0.1726800150577998
89194adac1bffff,88194adac1fffff,356,356,51.45491708108964,-0.18025363249749987
89194ad0183ffff,88194ad019fffff,357,357,51.44644956267221,-0.01958541732463758
89194ad0187ffff,88194ad019fffff,357,357,51.44393346043587,-0.016637318498327787
89194ad018bffff,88194ad019fffff,357,357,51.446238992842176,-0.024193349909057152
89194ad018fffff,88194ad019fffff,357,357,51.44372295410967,-0.02124494195115251
89194ad0193ffff,88194ad019fffff,357,357,51.44917604304194,-0.01792575827489038
89194ad0197ffff,88194ad019fffff,357,357,51.446659943119506,-0.01497763418987926
89194ad019bffff,88194ad019fffff,357,357,51.44896559909049,-0.02253385057696719
89195da5923ffff,88195da593fffff,358,358,51.51653267893798,-0.2236589447339233
89195da5927ffff,88195da593fffff,358,358,51.51402017609874,-0.2206930608977119
89195da592bffff,88195da593fffff,358,358,51.51631543557433,-0.22827986292060803
89195da592fffff,88195da593fffff,358,358,51.5138029974954,-0.22531366997710855
89195da5933ffff,88195da593fffff,358,358,51.51926223205894,-0.2220040848327817
89195da5937ffff,88195da593fffff,358,358,51.516749731764925,-0.21903817407979687
89195da593bffff,88195da593fffff,358,358,51.519045114471304,-0.22662516463018972
89194adad83ffff,88194adad9fffff,359,359,51.440481951346165,-0.14866383013554035
89194adad87ffff,88194adad9fffff,359,359,51.4379676357784,-0.14570708309666705
89194adad8bffff,88194adad9fffff,359,359,51.440266071091465,-0.15327592601912216
89194adad8fffff,88194adad9fffff,359,359,51.437751819661656,-0.15031887040412356
89194adad93ffff,88194adad9fffff,359,359,51.44321195493211,-0.14700865553056644
89194adad97ffff,88194adad9fffff,359,359,51.440697641687045,-0.14405188223186174
89194adad9bffff,88194adad9fffff,359,359,51.442996200452974,-0.15162091204618752
89194ada123ffff,88194ada13fffff,360,360,51.46224082204747,-0.19375000902900386
89194ada127ffff,88194ada13fffff,360,360,51.459727363238876,-0.19078901191282033
