local_tile,local_tiles,density,local_density
89194ad0317ffff,"{'89194ad030bffff', '89194ad0313ffff', '89194ad03c7ffff', '89194ad03b3ffff', '89194ad03abffff', '89194ad038fffff', '89194ad038bffff', '89194ad03a3ffff', '89194ad0307ffff', '89194ad033bffff', '89194ad031bffff', '89194ad0317ffff', '89194ad0333ffff', '89194ad0303ffff', '89194ad03bbffff', '89194ad03afffff', '89194ad0387ffff', '89194ad0383ffff', '89194ad030fffff'}",15.0,34.0
89194ad032bffff,"{'89194ad0e5bffff', '89194ad1d9bffff', '89194ad0363ffff', '89194ad0337ffff', '89194ad036fffff', '89194ad1d83ffff', '89194ad0377ffff', '89194ad1d97ffff', '89194ad0373ffff', '89194ad0307ffff', '89194ad0367ffff', '89194ad033bffff', '89194ad032fffff', '89194ad0323ffff', '89194ad0333ffff', '89194ad0327ffff', '89194ad032bffff', '89194ad030fffff', '89194ad1d93ffff'}",8.0,25.0
89194ad032fffff,"{'89194ad0e5bffff', '89194ad1d9bffff', '89194ad0337ffff', '89194ad1d83ffff', '89194ad0377ffff', '89194ad0e43ffff', '89194ad1d97ffff', '89194ad0e4bffff', '89194ad0367ffff', '89194ad033bffff', '89194ad0e53ffff', '89194ad032fffff', '89194ad1d87ffff', '89194ad0323ffff', '89194ad0333ffff', '89194ad0327ffff', '89194ad032bffff', '89194ad0ecbffff', '89194ad1d93ffff'}",2.0,27.0
89194ad0353ffff,"{'89194ad030bffff', '89194ad03c7ffff', '89194ad0237ffff', '89194ad0223ffff', '89194ad0227ffff', '89194ad034fffff', '89194ad03dbffff', '89194ad035bffff', '89194ad031bffff', '89194ad0353ffff', '89194ad0343ffff', '89194ad0357ffff', '89194ad03c3ffff', '89194ad1c97ffff', '89194ad03cfffff', '89194ad03cbffff', '89194ad0347ffff', '89194ad034bffff', '89194ad022fffff'}",6.0,10.0
89194ad0367ffff,"{'89194ad036bffff', '89194ad1dd3ffff', '89194ad1d8bffff', '89194ad1d9bffff', '89194ad0363ffff', '89194ad036fffff', '89194ad1d83ffff', '89194ad0377ffff', '89194ad1d97ffff', '89194ad0373ffff', '89194ad0367ffff', '89194ad033bffff', '89194ad032fffff', '89194ad0323ffff', '89194ad1dd7ffff', '89194ad037bffff', '89194ad032bffff', '89194ad030fffff', '89194ad1d93ffff'}",1.0,12.0
89194ad0387ffff,"{'89194ad039bffff', '89194ad0143ffff', '89194ad015bffff', '89194ad0393ffff', '89194ad0313ffff', '89194ad014bffff', '89194ad03b3ffff', '89194ad03abffff', '89194ad038fffff', '89194ad038bffff', '89194ad014fffff', '89194ad03a3ffff', '89194ad0397ffff', '89194ad0317ffff', '89194ad002fffff', '89194ad03bbffff', '89194ad03b7ffff', '89194ad0383ffff', '89194ad0387ffff'}",5.0,37.0
89194ad03a7ffff,"{'89194ad0edbffff', '89194ad0ec3ffff', '89194ad0337ffff', '89194ad03b3ffff', '89194ad0163ffff', '89194ad03abffff', '89194ad017bffff', '89194ad03a3ffff', '89194ad014fffff', '89194ad0ed7ffff', '89194ad016fffff', '89194ad0333ffff', '89194ad016bffff', '89194ad03bbffff', '89194ad03afffff', '89194ad03b7ffff', '89194ad03a7ffff', '89194ad0ed3ffff', '89194ad0ecbffff'}",2.0,8.0
89194ad03bbffff,"{'89194ad0313ffff', '89194ad014bffff', '89194ad03b3ffff', '89194ad03abffff', '89194ad038fffff', '89194ad038bffff', '89194ad014fffff', '89194ad03a3ffff', '89194ad0307ffff', '89194ad0317ffff', '89194ad0397ffff', '89194ad0333ffff', '89194ad0303ffff', '89194ad03a7ffff', '89194ad03afffff', '89194ad03b7ffff', '89194ad03bbffff', '89194ad0387ffff', '89194ad0383ffff'}",6.0,43.0
89194ad0403ffff,"{'89194ad048fffff', '89194ad041bffff', '89194ad04abffff', '89194ad0403ffff', '89194ad0477ffff', '89194ad048bffff', '89194ad0433ffff', '89194ad0407ffff', '89194ad040bffff', '89194ad0413ffff', '89194ad0457ffff', '89194ad0417ffff', '89194ad0447ffff', '89194ad043bffff', '89194ad040fffff', '89194ad0473ffff', '89194ad04bbffff', '89194ad04c7ffff', '89194ad04cfffff'}",4.0,86.0
89194ad0407ffff,"{'89194ad048fffff', '89194ad04afffff', '89194ad04a3ffff', '89194ad041bffff', '89194ad04abffff', '89194ad0403ffff', '89194ad0437ffff', '89194ad0477ffff', '89194ad0423ffff', '89194ad0433ffff', '89194ad0407ffff', '89194ad040bffff', '89194ad0413ffff', '89194ad0417ffff', '89194ad043bffff', '89194ad042bffff', '89194ad040fffff', '89194ad0473ffff', '89194ad04bbffff'}",14.0,92.0
89194ad040fffff,"{'89194ad0463ffff', '89194ad041bffff', '89194ad04abffff', '89194ad0403ffff', '89194ad0477ffff', '89194ad0467ffff', '89194ad0423ffff', '89194ad0433ffff', '89194ad0407ffff', '89194ad047bffff', '89194ad040bffff', '89194ad0413ffff', '89194ad0457ffff', '89194ad0417ffff', '89194ad0447ffff', '89194ad043bffff', '89194ad042bffff', '89194ad040fffff', '89194ad0473ffff'}",12.0,68.0
