cuisineType,venueType,n_type,p_local,p_credible,p_global,competition_factor,local_tile,neighbour_count,representations
American,Dine-In,1,0.006535947712418301,0.0007677412295542629,0.012973443622115803,1.0,89195da4d83ffff,153,1
Asian,Dine-In,1,0.006535947712418301,0.0007677412295542629,0.019068350021767523,1.0,89195da4d83ffff,153,1
Australian,Dine-In,1,0.006535947712418301,0.0007677412295542629,0.00130605137135394,1.0,89195da4d83ffff,153,1
Bar & Pub,Dine-In,7,0.0457516339869281,0.018036246566017707,0.030648672181105792,0.588483783553163,89195da4d83ffff,153,7
British,Dine-In,3,0.0196078431372549,0.004967001670327759,0.011754462342185459,1.0,89195da4d83ffff,153,3
Brunch & Breakfast,Dine-In,7,0.0457516339869281,0.018036246566017707,0.02585981715280801,0.6974622619889339,89195da4d83ffff,153,7
Buffet,Dine-In,1,0.006535947712418301,0.0007677412295542629,0.0015672616456247279,1.0,89195da4d83ffff,153,1
Burgers,Dine-In,9,0.058823529411764705,0.02580418967293128,0.03125816282107096,0.8255184356368127,89195da4d83ffff,153,9
Burgers,Takeaway,1,0.006535947712418301,0.0007677412295542629,0.00130605137135394,1.0,89195da4d83ffff,153,1
Chinese,Dine-In,14,0.0915032679738562,0.04729616439837469,0.049455811928602524,0.9563317748509389,89195da4d83ffff,153,14
Chinese,Takeaway,1,0.006535947712418301,0.0007677412295542629,0.015063125816282106,1.0,89195da4d83ffff,153,1
Dessert & Ice Cream,Dine-In,1,0.006535947712418301,0.0007677412295542629,0.008619939050936004,1.0,89195da4d83ffff,153,1
Fast Food,Dine-In,14,0.0915032679738562,0.04729616439837469,0.07009142359599478,0.674778196416563,89195da4d83ffff,153,14
Fast Food,Takeaway,1,0.006535947712418301,0.0007677412295542629,0.01610796691336526,1.0,89195da4d83ffff,153,1
French,Dine-In,1,0.006535947712418301,0.0007677412295542629,0.013931214627775359,1.0,89195da4d83ffff,153,1
German,Dine-In,1,0.006535947712418301,0.0007677412295542629,0.001131911188506748,1.0,89195da4d83ffff,153,1
Halal,Dine-In,1,0.006535947712418301,0.0007677412295542629,0.0043535045711798,1.0,89195da4d83ffff,153,1
Italian,Dine-In,6,0.0392156862745098,0.01440292195078621,0.06060078363082281,0.23766890604135002,89195da4d83ffff,153,6
Japanese,Dine-In,9,0.058823529411764705,0.02580418967293128,0.055811928602525034,0.46234183836757525,89195da4d83ffff,153,9
Japanese,Takeaway,1,0.006535947712418301,0.0007677412295542629,0.008619939050936004,1.0,89195da4d83ffff,153,1
Kebab Shop,Dine-In,2,0.013071895424836602,0.002556170028648132,0.01828471919895516,1.0,89195da4d83ffff,153,2
Korean,Dine-In,4,0.026143790849673203,0.007810569304557568,0.015150195907705702,0.515542462430136,89195da4d83ffff,153,4
Latin American,Dine-In,4,0.026143790849673203,0.007810569304557568,0.05729212015672616,0.13632885784626697,89195da4d83ffff,153,4
Mediterranean,Dine-In,1,0.006535947712418301,0.0007677412295542629,0.026121027427078797,1.0,89195da4d83ffff,153,1
Middle Eastern,Dine-In,6,0.0392156862745098,0.01440292195078621,0.06408358728776666,0.2247521176695375,89195da4d83ffff,153,6
Pizza,Dine-In,7,0.0457516339869281,0.018036246566017707,0.04736612973443622,0.3807836246520466,89195da4d83ffff,153,7
Sandwich & Deli,Dine-In,12,0.0784313725490196,0.03840844664569495,0.04292555507183283,0.8947687824052869,89195da4d83ffff,153,12
Sandwich & Deli,Takeaway,1,0.006535947712418301,0.0007677412295542629,0.000609490639965172,1.0,89195da4d83ffff,153,1
Seafood,Dine-In,1,0.006535947712418301,0.0007677412295542629,0.018197649107531563,1.0,89195da4d83ffff,153,1
South Asian,Dine-In,7,0.0457516339869281,0.018036246566017707,0.05711797997387897,0.3157717862968192,89195da4d83ffff,153,7
Southeast Asian,Dine-In,6,0.0392156862745098,0.01440292195078621,0.047888550282977796,0.30075919746323565,89195da4d83ffff,153,6
Southern European,Dine-In,5,0.032679738562091505,0.01097875291736756,0.011841532433609055,0.927139538646812,89195da4d83ffff,153,5
Steakhouse & BBQ,Dine-In,5,0.032679738562091505,0.01097875291736756,0.0282107096212451,0.3891696828887853,89195da4d83ffff,153,5
Vegetarian & Vegan,Dine-In,7,0.0457516339869281,0.018036246566017707,0.02734000870700914,0.6597015662761573,89195da4d83ffff,153,7
African,Dine-In,3,0.016483516483516484,0.0041735737304727195,0.017065737919024816,1.0,89195da4d87ffff,182,3
American,Dine-In,1,0.005494505494505495,0.0006453464066814513,0.012973443622115803,1.0,89195da4d87ffff,182,1
Asian,Dine-In,3,0.016483516483516484,0.0041735737304727195,0.019068350021767523,1.0,89195da4d87ffff,182,3
Australian,Dine-In,1,0.005494505494505495,0.0006453464066814513,0.00130605137135394,1.0,89195da4d87ffff,182,1
Bar & Pub,Dine-In,9,0.04945054945054945,0.021656572524050625,0.030648672181105792,0.7066072029509131,89195da4d87ffff,182,9
British,Dine-In,3,0.016483516483516484,0.0041735737304727195,0.011754462342185459,1.0,89195da4d87ffff,182,3
Brunch & Breakfast,Dine-In,8,0.04395604395604396,0.018337259005552123,0.02585981715280801,0.7091024231608287,89195da4d87ffff,182,8
Buffet,Dine-In,1,0.005494505494505495,0.0006453464066814513,0.0015672616456247279,1.0,89195da4d87ffff,182,1
Burgers,Dine-In,9,0.04945054945054945,0.021656572524050625,0.03125816282107096,0.692829346625965,89195da4d87ffff,182,9
Burgers,Takeaway,1,0.005494505494505495,0.0006453464066814513,0.00130605137135394,1.0,89195da4d87ffff,182,1
